[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/6/2005 12:03:12
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.75
duration=1937
description=Sample workout - run around Timex neighborhood^^   speed/distance/position/altitude
sessionType=5
maxHR=0
maxSpeed=9.8
avgHR=0
avgSpeed=6.99
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"1156.68","0","7.7","2.323","2","-73.14764","41.52634","881","3","248","262"
"1160.25","0","7.8","2.331","2","-73.14779","41.52628","883","3","246","260"
"1163.82","0","7.7","2.339","2","-73.1479","41.52624","879","3","248","262"
"1167.39","0","6.2","2.344","2","-73.14803","41.52622","876","3","254","268"
"1170.96","0","6.2","2.35","2","-73.14811","41.5262","891","3","244","260"
"1174.53","0","7.2","2.357","2","-73.14822","41.52611","872","3","228","242"
"1178.1","0","7.3","2.364","2","-73.1483","41.52607","866","3","236","250"
"1181.67","0","7.5","2.372","2","-73.14845","41.52602","861","3","246","260"
"1185.24","0","6.9","2.378","2","-73.14858","41.52598","856","3","248","262"
"1188.81","0","7","2.385","2","-73.14869","41.52594","855","3","248","262"
"1192.38","0","6.6","2.39","2","-73.1488","41.52592","855","3","250","264"
"1195.95","0","6.4","2.398","2","-73.14893","41.52589","849","3","252","266"
"1199.52","0","7.6","2.406","2","-73.14908","41.52583","846","3","246","260"
"1203.09","0","7.5","2.413","2","-73.14919","41.52581","842","3","248","262"
"1206.66","0","6.4","2.42","2","-73.14933","41.52579","839","3","254","268"
"1210.23","0","6.2","2.425","2","-73.14944","41.52575","837","3","248","262"
"1213.8","0","6.1","2.431","2","-73.14953","41.52572","835","3","250","264"
"1217.37","0","6.1","2.438","2","-73.14967","41.52568","832","3","250","266"
"1220.94","0","6.2","2.444","2","-73.14978","41.52568","832","3","256","270"
"1224.51","0","6.1","2.45","2","-73.14991","41.52564","828","3","256","270"
