[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/7/2005 12:00:43
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.999
duration=2677
description=Sample workout - a run near Timex building^^speed/distance/position/altitude PLUS Heart Rate
sessionType=20
maxHR=192
maxSpeed=7.8
avgHR=169
avgSpeed=5.4
fromDataRecorder=True
TimeZone1=60
TimeZone2=120
TimeZone3=60
TimeZone4=240
TimeZone5=2160

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"480","172","0","0","0","0","0","0","0","0","0"
"482","173","0","0","0","0","0","0","0","0","0"
"484","173","0","0","0","0","0","0","0","0","0"
"486","174","0","0","0","0","0","0","0","0","0"
"488","174","0","0","0","0","0","0","0","0","0"
"490","177","0","0","0","0","0","0","0","0","0"
"492","177","0","0","0","0","0","0","0","0","0"
"494","177","0","0","0","0","0","0","0","0","0"
"496","177","0","0","0","0","0","0","0","0","0"
"498","179","0","0","0","0","0","0","0","0","0"
"500","177","0","0","0","0","0","0","0","0","0"
"502","177","0","0","0","0","0","0","0","0","0"
"504","177","0","0","0","0","0","0","0","0","0"
"506","173","0","0","0","0","0","0","0","0","0"
"508","173","0","0","0","0","0","0","0","0","0"
"510","174","0","0","0","0","0","0","0","0","0"
"512","173","0","0","0","0","0","0","0","0","0"
"514","173","0","0","0","0","0","0","0","0","0"
"516","174","0","0","0","0","0","0","0","0","0"
"518","176","0","0","0","0","0","0","0","0","0"
"520","176","0","0","0","0","0","0","0","0","0"
"522","176","0","0","0","0","0","0","0","0","0"
"524","176","0","0","0","0","0","0","0","0","0"
"526","176","0","0","0","0","0","0","0","0","0"
"528","174","0","0","0","0","0","0","0","0","0"
"530","174","0","0","0","0","0","0","0","0","0"
"532","174","0","0","0","0","0","0","0","0","0"
"534","174","0","0","0","0","0","0","0","0","0"
"536","174","0","0","0","0","0","0","0","0","0"
"538","174","0","0","0","0","0","0","0","0","0"
"540","174","0","0","0","0","0","0","0","0","0"
"542","176","0","0","0","0","0","0","0","0","0"
"544","176","0","0","0","0","0","0","0","0","0"
"546","176","0","0","0","0","0","0","0","0","0"
