[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/3/2005 2:45:06 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=11.2
duration=5326
description=Sample Workout - Heart Rate and Speed & Distance
sessionType=20
maxHR=179
maxSpeed=15.8
avgHR=153
avgSpeed=7.34
fromDataRecorder=True
TimeZone1=240
TimeZone2=360
TimeZone3=1080
TimeZone4=1620
TimeZone5=2040

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1196,150,0,0,0
1198,150,0,0,0
1200,150,0,0,0
1202,150,0,0,0
1204,150,0,0,0
1206,150,0,0,0
1208,151,0,0,0
1210,151,0,0,0
1212,151,0,0,0
1214,151,0,0,0
1216,151,0,0,0
1218,151,0,0,0
1220,151,0,0,0
1222,151,0,0,0
1224,148,0,0,0
1226,148,0,0,0
1228,148,0,0,0
1230,146,0,0,0
1232,146,0,0,0
1234,146,0,0,0
1236,146,0,0,0
1238,146,0,0,0
1240,146,0,0,0
1242,146,0,0,0
1244,146,0,0,0
1246,146,0,0,0
1248,146,0,0,0
1250,130,0,0,0
1252,132,0,0,0
1254,132,0,0,0
1256,130,0,0,0
1258,129,0,0,0
1260,125,0,0,0
1262,125,0,0,0
1264,125,0,0,0
1266,125,0,0,0
1268,125,0,0,0
1270,114,0,0,0
1272,114,0,0,0
1274,114,0,0,0
1276,114,0,0,0
1278,108,0,0,0
1280,110,0,0,0
1282,110,0,0,0
1284,114,0,0,0
1286,123,0,0,0
1288,123,0,0,0
1290,123,0,0,0
1292,123,0,0,0
1294,148,0,0,0
1296,150,0,0,0
1298,150,0,0,0
1300,150,0,0,0
1302,150,0,0,0
1304,155,0,0,0
1306,154,0,0,0
1308,153,0,0,0
1310,153,0,0,0
1312,153,0,0,0
1314,153,0,0,0
1316,153,0,0,0
1318,157,0,0,0
1320,159,0,0,0
1322,159,0,0,0
1324,159,0,0,0
1326,159,0,0,0
1328,159,0,0,0
1330,157,0,0,0
1332,159,0,0,0
1334,159,0,0,0
1336,159,0,0,0
1338,160,0,0,0
1340,160,0,0,0
1342,160,0,0,0
1344,160,0,0,0
1346,163,0,0,0
1348,163,0,0,0
1350,163,0,0,0
1352,163,0,0,0
1354,163,0,0,0
1356,163,0,0,0
1358,163,0,0,0
1360,163,0,0,0
1362,161,0,0,0
1364,161,0,0,0
1366,161,0,0,0
1368,161,0,0,0
1370,161,0,0,0
1372,159,0,0,0
1374,159,0,0,0
1376,159,0,0,0
1378,159,0,0,0
1380,159,0,0,0
1382,159,0,0,0
1384,159,0,0,0
1386,159,0,0,0
1388,160,0,0,0
1390,160,0,0,0
1392,160,0,0,0
1394,160,0,0,0
1396,160,0,0,0
1398,160,0,0,0
1400,160,0,0,0
1402,160,0,0,0
1404,160,0,0,0
1406,159,0,0,0
1408,159,0,0,0
1410,159,0,0,0
1412,159,0,0,0
1414,157,0,0,0
1416,157,0,0,0
1418,157,0,0,0
1420,157,0,0,0
1422,160,0,0,0
1424,160,0,0,0
1426,161,0,0,0
1428,160,0,0,0
1430,161,0,0,0
1432,161,0,0,0
1434,163,0,0,0
1436,163,0,0,0
1438,163,0,0,0
1440,163,0,0,0
1442,163,0,0,0
1444,161,0,0,0
1446,161,0,0,0
1448,161,0,0,0
1450,163,0,0,0
1452,161,0,0,0
1454,163,0,0,0
1456,163,0,0,0
1458,163,0,0,0
1460,163,0,0,0
1462,163,0,0,0
1464,161,0,0,0
1466,161,0,0,0
1468,163,0,0,0
1470,163,0,0,0
1472,163,0,0,0
1474,163,0,0,0
1476,163,0,0,0
1478,163,0,0,0
1480,163,0,0,0
1482,163,0,0,0
1484,163,0,0,0
1486,160,0,0,0
1488,160,0,0,0
1490,163,0,0,0
1492,161,0,0,0
1494,161,0,0,0
1496,161,0,0,0
1498,161,0,0,0
1500,161,0,0,0
1502,161,0,0,0
1504,160,0,0,0
1506,160,0,0,0
1508,161,0,0,0
1510,161,0,0,0
1512,163,0,0,0
1514,163,0,0,0
1516,163,0,0,0
1518,161,0,0,0
1520,161,0,0,0
1522,161,0,0,0
1524,161,0,0,0
1526,161,0,0,0
1528,159,0,0,0
1530,160,0,0,0
1532,160,0,0,0
1534,159,0,0,0
1536,160,0,0,0
1538,160,0,0,0
1540,161,0,0,0
1542,161,0,0,0
1544,161,0,0,0
1546,161,0,0,0
1548,159,0,0,0
1550,159,0,0,0
1552,159,0,0,0
1554,161,0,0,0
1556,161,0,0,0
1558,161,0,0,0
1560,161,0,0,0
1562,161,0,0,0
1564,161,0,0,0
1566,160,0,0,0
1568,159,0,0,0
1570,159,0,0,0
1572,159,0,0,0
1574,159,0,0,0
1576,159,0,0,0
1578,159,0,0,0
1580,164,0,0,0
1582,164,0,0,0
1584,159,0,0,0
1586,159,0,0,0
1588,160,0,0,0
1590,161,0,0,0
1592,160,0,0,0
1594,160,0,0,0
1596,161,0,0,0
1598,161,0,0,0
1600,161,0,0,0
1602,161,0,0,0
1604,161,0,0,0
1606,161,0,0,0
1608,161,0,0,0
1610,161,0,0,0
1612,161,0,0,0
1614,161,0,0,0
1616,161,0,0,0
1618,161,0,0,0
1620,161,0,0,0
1622,161,0,0,0
1624,161,0,0,0
1626,161,0,0,0
1628,161,0,0,0
1630,161,0,0,0
1632,161,0,0,0
1634,161,0,0,0
1636,161,0,0,0
1638,160,0,0,0
1640,160,0,0,0
1642,160,0,0,0
1644,160,0,0,0
1646,160,0,0,0
1648,160,0,0,0
1650,159,0,0,0
1652,157,0,0,0
1654,157,0,0,0
1656,156,0,0,0
1658,156,0,0,0
1660,156,0,0,0
1662,156,0,0,0
1664,157,0,0,0
1666,157,0,0,0
1668,157,0,0,0
1670,157,0,0,0
1672,157,0,0,0
1674,157,0,0,0
1676,157,0,0,0
1678,157,0,0,0
1680,157,0,0,0
1682,155,0,0,0
1684,153,0,0,0
1686,153,0,0,0
1688,153,0,0,0
1690,153,0,0,0
1692,153,0,0,0
1694,155,0,0,0
1696,156,0,0,0
1698,156,0,0,0
1700,155,0,0,0
1702,155,0,0,0
1704,151,0,0,0
1706,149,0,0,0
1708,149,0,0,0
1710,149,0,0,0
1712,149,0,0,0
1714,145,0,0,0
1716,146,0,0,0
1718,146,0,0,0
1720,146,0,0,0
1722,146,0,0,0
1724,146,0,0,0
1726,145,0,0,0
1728,146,0,0,0
1730,146,0,0,0
1732,146,0,0,0
1734,146,0,0,0
1736,140,0,0,0
1738,139,0,0,0
1740,139,0,0,0
1742,140,0,0,0
1744,140,0,0,0
1746,140,0,0,0
1748,140,0,0,0
1750,140,0,0,0
1752,140,0,0,0
1754,140,0,0,0
1756,140,0,0,0
1758,144,0,0,0
1760,144,0,0,0
1762,140,0,0,0
1764,140,0,0,0
1766,140,0,0,0
1768,144,0,0,0
1770,144,0,0,0
1772,144,0,0,0
1774,144,0,0,0
1776,146,0,0,0
1778,146,0,0,0
1780,146,0,0,0
1782,146,0,0,0
1784,146,0,0,0
1786,145,0,0,0
1788,145,0,0,0
1790,145,0,0,0
1792,145,0,0,0
1794,145,0,0,0
1796,149,0,0,0
1798,149,0,0,0
1800,149,0,0,0
1802,151,0,0,0
1804,151,0,0,0
1806,151,0,0,0
1808,151,0,0,0
1810,149,0,0,0
1812,149,0,0,0
1814,149,0,0,0
1816,149,0,0,0
1818,149,0,0,0
1820,149,0,0,0
1822,148,0,0,0
1824,148,0,0,0
1826,148,0,0,0
1828,148,0,0,0
1830,148,0,0,0
1832,148,0,0,0
1834,150,0,0,0
1836,150,0,0,0
1838,151,0,0,0
1840,153,0,0,0
1842,152,0,0,0
1844,152,0,0,0
1846,152,0,0,0
1848,152,0,0,0
1850,153,0,0,0
1852,153,0,0,0
1854,153,0,0,0
1856,153,0,0,0
1858,157,0,0,0
1860,156,0,0,0
1862,157,0,0,0
1864,157,0,0,0
1866,157,0,0,0
1868,157,0,0,0
1870,160,0,0,0
1872,161,0,0,0
1874,160,0,0,0
1876,161,0,0,0
1878,161,0,0,0
1880,160,0,0,0
1882,160,0,0,0
1884,160,0,0,0
1886,160,0,0,0
1888,161,0,0,0
1890,163,0,0,0
1892,163,0,0,0
1894,163,0,0,0
1896,163,0,0,0
1898,163,0,0,0
1900,163,0,0,0
1902,164,0,0,0
1904,164,0,0,0
1906,164,0,0,0
1908,163,0,0,0
1910,163,0,0,0
1912,163,0,0,0
1914,163,0,0,0
1916,163,0,0,0
1918,163,0,0,0
1920,161,0,0,0
1922,161,0,0,0
1924,161,0,0,0
1926,161,0,0,0
1928,161,0,0,0
1930,163,0,0,0
1932,163,0,0,0
1934,163,0,0,0
1936,164,0,0,0
1938,164,0,0,0
1940,165,0,0,0
1942,165,0,0,0
1944,165,0,0,0
1946,165,0,0,0
1948,165,0,0,0
1950,165,0,0,0
1952,164,0,0,0
1954,164,0,0,0
1956,164,0,0,0
1958,164,0,0,0
1960,164,0,0,0
1962,164,0,0,0
1964,164,0,0,0
1966,163,0,0,0
