[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/1/2005 9:27:26 AM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=0
duration=3298
description=Sample Workout - Heart Rate Only
sessionType=0
maxHR=111
maxSpeed=0
avgHR=81
avgSpeed=0
fromDataRecorder=True
TimeZone1=2940
TimeZone2=360
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1440,80,0,0,0
1442,80,0,0,0
1444,80,0,0,0
1446,80,0,0,0
1448,80,0,0,0
1450,84,0,0,0
1452,87,0,0,0
1454,87,0,0,0
1456,86,0,0,0
1458,80,0,0,0
1460,80,0,0,0
1462,80,0,0,0
1464,78,0,0,0
1466,76,0,0,0
1468,76,0,0,0
1470,82,0,0,0
1472,81,0,0,0
1474,78,0,0,0
1476,78,0,0,0
1478,78,0,0,0
1480,78,0,0,0
1482,80,0,0,0
1484,81,0,0,0
1486,80,0,0,0
1488,80,0,0,0
1490,84,0,0,0
1492,86,0,0,0
1494,86,0,0,0
1496,87,0,0,0
1498,86,0,0,0
1500,86,0,0,0
1502,91,0,0,0
1504,90,0,0,0
1506,89,0,0,0
1508,85,0,0,0
1510,85,0,0,0
1512,83,0,0,0
1514,86,0,0,0
1516,86,0,0,0
1518,92,0,0,0
1520,84,0,0,0
1522,76,0,0,0
1524,79,0,0,0
1526,81,0,0,0
1528,82,0,0,0
1530,81,0,0,0
1532,81,0,0,0
1534,78,0,0,0
1536,78,0,0,0
1538,80,0,0,0
1540,84,0,0,0
1542,86,0,0,0
1544,85,0,0,0
1546,84,0,0,0
1548,84,0,0,0
1550,85,0,0,0
1552,87,0,0,0
1554,87,0,0,0
1556,87,0,0,0
1558,81,0,0,0
1560,82,0,0,0
1562,86,0,0,0
1564,87,0,0,0
1566,82,0,0,0
1568,78,0,0,0
1570,78,0,0,0
1572,78,0,0,0
1574,84,0,0,0
1576,88,0,0,0
1578,88,0,0,0
1580,88,0,0,0
1582,87,0,0,0
1584,85,0,0,0
1586,84,0,0,0
1588,81,0,0,0
1590,82,0,0,0
1592,79,0,0,0
1594,78,0,0,0
1596,81,0,0,0
1598,85,0,0,0
