[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/2/2005 8:27:02 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=5.21
duration=2580
description=Sample Workout - Speed & Distance Only
sessionType=1
maxHR=0
maxSpeed=18.1
avgHR=0
avgSpeed=6.9
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1585.08,0,6.2,3.117,1
1588.65,0,11.9,3.126,1
1592.22,0,12.5,3.138,1
1595.79,0,12.3,3.151,1
1599.36,0,12.8,3.163,1
1602.93,0,12.8,3.176,1
1606.5,0,13.9,3.187,1
1610.07,0,12.1,3.198,1
1613.64,0,13.7,3.211,1
1617.21,0,12.4,3.223,1
1620.78,0,12.4,3.235,1
1624.35,0,12.4,3.247,1
1627.92,0,6.8,3.254,1
1631.49,0,5.2,3.26,1
1635.06,0,5.2,3.265,1
1638.63,0,5.2,3.289,1
1642.2,0,5.2,3.294,1
1645.77,0,5.9,3.307,1
1649.34,0,5.9,3.313,1
1652.91,0,5.9,3.319,1
1656.48,0,5.9,3.325,1
1660.05,0,5.4,3.336,1
1663.62,0,5.4,3.342,1
1667.19,0,0,3.344,1
1670.76,0,0,3.345,1
1674.33,0,11.6,3.352,1
1677.9,0,13.6,3.362,1
1681.47,0,12.8,3.377,1
1685.04,0,13.9,3.391,1
1688.61,0,13.6,3.404,1
1692.18,0,13.2,3.417,1
1695.75,0,13,3.43,1
1699.32,0,12.6,3.443,1
1702.89,0,14.6,3.454,1
1706.46,0,13.3,3.468,1
1710.03,0,7.3,3.479,1
1713.6,0,4,3.486,1
1717.17,0,4.2,3.491,1
1720.74,0,4.2,3.496,1
1724.31,0,4.6,3.502,1
1727.88,0,4.5,3.507,1
1731.45,0,4.4,3.512,1
1735.02,0,4.5,3.517,1
1738.59,0,4.5,3.522,1
1742.16,0,4.1,3.527,1
1745.73,0,4.1,3.531,1
1749.3,0,4.5,3.536,1
1752.87,0,4.5,3.541,1
1756.44,0,4.4,3.546,1
1760.01,0,4.3,3.551,1
1763.58,0,4.4,3.555,1
1767.15,0,12.2,3.563,1
1770.72,0,10.3,3.573,1
1774.29,0,12.9,3.586,1
1777.86,0,13.4,3.599,1
1781.43,0,14.2,3.613,1
1785,0,11.7,3.625,1
1788.57,0,13.9,3.639,1
1792.14,0,11.4,3.65,1
1795.71,0,11.6,3.661,1
1799.28,0,11.6,3.673,1
1802.85,0,11.6,3.685,1
1806.42,0,11.6,3.696,1
1809.99,0,4.8,3.704,1
1813.56,0,5.7,3.709,1
1817.13,0,4.9,3.715,1
1820.7,0,4.3,3.72,1
1824.27,0,4.3,3.74,1
1827.84,0,4.3,3.746,1
1831.41,0,4,3.753,1
1834.98,0,4,3.757,1
1838.55,0,4,3.761,1
1842.12,0,4.1,3.765,1
1845.69,0,3.7,3.769,1
1849.26,0,0,3.769,1
1852.83,0,5,3.769,1
1856.4,0,18.1,3.779,1
1859.97,0,12.8,3.791,1
1863.54,0,13,3.804,1
1867.11,0,12.8,3.818,1
1870.68,0,13.4,3.831,1
1874.25,0,12.4,3.843,1
1877.82,0,14.4,3.855,1
1881.39,0,13.4,3.868,1
1884.96,0,11,3.879,1
1888.53,0,10.2,3.89,1
1892.1,0,10.2,3.9,1
1895.67,0,10.2,3.911,1
1899.24,0,6.3,3.919,1
